Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
10000,1,1,1,52,168,168,1,63511
,,,,,,168,2,59823.4
,,,,,,168,3,57621.2
,,,,,,168,4,56695.8
,,,,,,168,5,56420
,,,,,,168,6,57316
,,,,,,168,7,59754.8
,,,,,,168,8,59288.6
,,,,,,168,9,56627.2
,,,,,,168,10,51541
,,,,,,168,11,46011
,,,,,,168,12,45774.4
,,,,,,168,13,45383.8
,,,,,,168,14,47594.4
,,,,,,168,15,52749.2
,,,,,,168,16,61331.2
,,,,,,168,17,71289.4
,,,,,,168,18,79633.4
,,,,,,168,19,80718.4
,,,,,,168,20,79863
,,,,,,168,21,77690.2
,,,,,,168,22,74960.2
,,,,,,168,23,70960.4
,,,,,,168,24,65620.8
,,,,,,168,25,59717
,,,,,,168,26,57384.6
,,,,,,168,27,55893.6
,,,,,,168,28,56191.8
,,,,,,168,29,57521.8
,,,,,,168,30,60642.4
,,,,,,168,31,66119.2
,,,,,,168,32,68297.6
,,,,,,168,33,63915.6
,,,,,,168,34,59717
,,,,,,168,35,57866.2
,,,,,,168,36,57797.6
,,,,,,168,37,58983.4
,,,,,,168,38,62340.6
,,,,,,168,39,67846.8
,,,,,,168,40,75044.2
,,,,,,168,41,85316
,,,,,,168,42,96306
,,,,,,168,43,95181.8
,,,,,,168,44,91296.8
,,,,,,168,45,88825.8
,,,,,,168,46,84658
,,,,,,168,47,78324.4
,,,,,,168,48,72252.6
,,,,,,168,49,68803
,,,,,,168,50,66715.6
,,,,,,168,51,65881.2
,,,,,,168,52,66486
,,,,,,,53,68573.4
,,,,,,,54,74271.4
,,,,,,,55,87052
,,,,,,,56,96023.2
,,,,,,,57,91441
,,,,,,,58,86149
,,,,,,,59,85208.2
,,,,,,,60,84810.6
,,,,,,,61,85820
,,,,,,,62,87595.2
,,,,,,,63,90402.2
,,,,,,,64,95173.4
,,,,,,,65,105109.2
,,,,,,,66,117514.6
,,,,,,,67,117070.8
,,,,,,,68,113972.6
,,,,,,,69,111854.4
,,,,,,,70,100520
,,,,,,,71,93063.6
,,,,,,,72,86363.2
,,,,,,,73,81782.4
,,,,,,,74,79503.2
,,,,,,,75,78240.4
,,,,,,,76,78516.2
,,,,,,,77,80152.8
,,,,,,,78,85269.8
,,,,,,,79,97529.6
,,,,,,,80,106134
,,,,,,,81,96864.6
,,,,,,,82,88099.2
,,,,,,,83,82807.2
,,,,,,,84,83465.2
,,,,,,,85,90645.8
,,,,,,,86,93949.8
,,,,,,,87,94455.2
,,,,,,,88,100696.4
,,,,,,,89,110087.6
,,,,,,,90,120642.2
,,,,,,,91,119005.6
,,,,,,,92,114515.8
,,,,,,,93,111067.6
,,,,,,,94,98646.8
,,,,,,,95,89698
,,,,,,,96,82432
,,,,,,,97,77270.2
,,,,,,,98,74600.4
,,,,,,,99,73361.4
,,,,,,,100,73116.4
,,,,,,,101,74309.2
,,,,,,,102,79121
,,,,,,,103,91098
,,,,,,,104,101147.2
,,,,,,,105,96964
,,,,,,,106,86692.2
,,,,,,,107,80826.2
,,,,,,,108,75817
,,,,,,,109,74845.4
,,,,,,,110,77758.8
,,,,,,,111,82332.6
,,,,,,,112,88275.6
,,,,,,,113,98967.4
,,,,,,,114,109758.6
,,,,,,,115,107863
,,,,,,,116,104091.4
,,,,,,,117,101712.8
,,,,,,,118,90745.2
,,,,,,,119,83655.6
,,,,,,,120,76742.4
,,,,,,,121,71433.6
,,,,,,,122,69010.2
,,,,,,,123,67426.8
,,,,,,,124,67403
,,,,,,,125,68467
,,,,,,,126,73407.6
,,,,,,,127,86042.6
,,,,,,,128,92596
,,,,,,,129,86378.6
,,,,,,,130,72672.6
,,,,,,,131,67740.4
,,,,,,,132,64673
,,,,,,,133,66616.2
,,,,,,,134,69881
,,,,,,,135,73866.8
,,,,,,,136,80627.4
,,,,,,,137,87182.2
,,,,,,,138,96864.6
,,,,,,,139,94921.4
,,,,,,,140,90049.4
,,,,,,,141,87288.6
,,,,,,,142,79870
,,,,,,,143,74134.2
,,,,,,,144,68619.6
,,,,,,,145,65392.6
,,,,,,,146,61896.8
,,,,,,,147,60734.8
,,,,,,,148,60664.8
,,,,,,,149,60993.8
,,,,,,,150,63067.2
,,,,,,,151,67464.6
,,,,,,,152,68398.4
,,,,,,,153,63502.6
,,,,,,,154,57545.6
,,,,,,,155,53674.6
,,,,,,,156,51326.8
,,,,,,,157,51044
,,,,,,,158,52444
,,,,,,,159,58087.4
,,,,,,,160,65079
,,,,,,,161,72520
,,,,,,,162,79885.4
,,,,,,,163,81162.2
,,,,,,,164,79991.8
,,,,,,,165,77429.8
,,,,,,,166,74860.8
,,,,,,,167,70775.6
,,,,,,,168,65996
,,,,,,,169,61850.6
,,,,,,,170,59059
,,,,,,,171,57904
,,,,,,,172,57843.8
,,,,,,,173,58217.6
,,,,,,,174,59900.4
,,,,,,,175,62974.8
,,,,,,,176,63250.6
,,,,,,,177,62179.6
,,,,,,,178,59549
,,,,,,,179,53369.4
,,,,,,,180,50401.4
,,,,,,,181,52795.4
,,,,,,,182,54454.4
,,,,,,,183,57934.8
,,,,,,,184,68038.6
,,,,,,,185,76910.4
,,,,,,,186,85430.8
,,,,,,,187,87480.4
,,,,,,,188,86875.6
