Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
10000,1,1,1,52,168,168,1,45365
,,,,,,168,2,42731
,,,,,,168,3,41158
,,,,,,168,4,40497
,,,,,,168,5,40300
,,,,,,168,6,40940
,,,,,,168,7,42682
,,,,,,168,8,42349
,,,,,,168,9,40448
,,,,,,168,10,36815
,,,,,,168,11,32865
,,,,,,168,12,32696
,,,,,,168,13,32417
,,,,,,168,14,33996
,,,,,,168,15,37678
,,,,,,168,16,43808
,,,,,,168,17,50921
,,,,,,168,18,56881
,,,,,,168,19,57656
,,,,,,168,20,57045
,,,,,,168,21,55493
,,,,,,168,22,53543
,,,,,,168,23,50686
,,,,,,168,24,46872
,,,,,,168,25,42655
,,,,,,168,26,40989
,,,,,,168,27,39924
,,,,,,168,28,40137
,,,,,,168,29,41087
,,,,,,168,30,43316
,,,,,,168,31,47228
,,,,,,168,32,48784
,,,,,,168,33,45654
,,,,,,168,34,42655
,,,,,,168,35,41333
,,,,,,168,36,41284
,,,,,,168,37,42131
,,,,,,168,38,44529
,,,,,,168,39,48462
,,,,,,168,40,53603
,,,,,,168,41,60940
,,,,,,168,42,68790
,,,,,,168,43,67987
,,,,,,168,44,65212
,,,,,,168,45,63447
,,,,,,168,46,60470
,,,,,,168,47,55946
,,,,,,168,48,51609
,,,,,,168,49,49145
,,,,,,168,50,47654
,,,,,,168,51,47058
,,,,,,168,52,47490
,,,,,,,53,48981
,,,,,,,54,53051
,,,,,,,55,62180
,,,,,,,56,68588
,,,,,,,57,65315
,,,,,,,58,61535
,,,,,,,59,60863
,,,,,,,60,60579
,,,,,,,61,61300
,,,,,,,62,62568
,,,,,,,63,64573
,,,,,,,64,67981
,,,,,,,65,75078
,,,,,,,66,83939
,,,,,,,67,83622
,,,,,,,68,81409
,,,,,,,69,79896
,,,,,,,70,71800
,,,,,,,71,66474
,,,,,,,72,61688
,,,,,,,73,58416
,,,,,,,74,56788
,,,,,,,75,55886
,,,,,,,76,56083
,,,,,,,77,57252
,,,,,,,78,60907
,,,,,,,79,69664
,,,,,,,80,75810
,,,,,,,81,69189
,,,,,,,82,62928
,,,,,,,83,59148
,,,,,,,84,59618
,,,,,,,85,64747
,,,,,,,86,67107
,,,,,,,87,67468
,,,,,,,88,71926
,,,,,,,89,78634
,,,,,,,90,86173
,,,,,,,91,85004
,,,,,,,92,81797
,,,,,,,93,79334
,,,,,,,94,70462
,,,,,,,95,64070
,,,,,,,96,58880
,,,,,,,97,55193
,,,,,,,98,53286
,,,,,,,99,52401
,,,,,,,100,52226
,,,,,,,101,53078
,,,,,,,102,56515
,,,,,,,103,65070
,,,,,,,104,72248
,,,,,,,105,69260
,,,,,,,106,61923
,,,,,,,107,57733
,,,,,,,108,54155
,,,,,,,109,53461
,,,,,,,110,55542
,,,,,,,111,58809
,,,,,,,112,63054
,,,,,,,113,70691
,,,,,,,114,78399
,,,,,,,115,77045
,,,,,,,116,74351
,,,,,,,117,72652
,,,,,,,118,64818
,,,,,,,119,59754
,,,,,,,120,54816
,,,,,,,121,51024
,,,,,,,122,49293
,,,,,,,123,48162
,,,,,,,124,48145
,,,,,,,125,48905
,,,,,,,126,52434
,,,,,,,127,61459
,,,,,,,128,66140
,,,,,,,129,61699
,,,,,,,130,51909
,,,,,,,131,48386
,,,,,,,132,46195
,,,,,,,133,47583
,,,,,,,134,49915
,,,,,,,135,52762
,,,,,,,136,57591
,,,,,,,137,62273
,,,,,,,138,69189
,,,,,,,139,67801
,,,,,,,140,64321
,,,,,,,141,62349
,,,,,,,142,57050
,,,,,,,143,52953
,,,,,,,144,49014
,,,,,,,145,46709
,,,,,,,146,44212
,,,,,,,147,43382
,,,,,,,148,43332
,,,,,,,149,43567
,,,,,,,150,45048
,,,,,,,151,48189
,,,,,,,152,48856
,,,,,,,153,45359
,,,,,,,154,41104
,,,,,,,155,38339
,,,,,,,156,36662
,,,,,,,157,36460
,,,,,,,158,37460
,,,,,,,159,41491
,,,,,,,160,46485
,,,,,,,161,51800
,,,,,,,162,57061
,,,,,,,163,57973
,,,,,,,164,57137
,,,,,,,165,55307
,,,,,,,166,53472
,,,,,,,167,50554
,,,,,,,168,47140
,,,,,,,169,44179
,,,,,,,170,42185
,,,,,,,171,41360
,,,,,,,172,41317
,,,,,,,173,41584
,,,,,,,174,42786
,,,,,,,175,44982
,,,,,,,176,45179
,,,,,,,177,44414
,,,,,,,178,42535
,,,,,,,179,38121
,,,,,,,180,36001
,,,,,,,181,37711
,,,,,,,182,38896
,,,,,,,183,41382
,,,,,,,184,48599
,,,,,,,185,54936
,,,,,,,186,61022
,,,,,,,187,62486
,,,,,,,188,62054
,,,,,,,189,60727
,,,,,,,190,58246
,,,,,,,191,54504
,,,,,,,192,50669
,,,,,,,193,46938
,,,,,,,194,45927
,,,,,,,195,45408
,,,,,,,196,45818
,,,,,,,197,47085
,,,,,,,198,50953
,,,,,,,199,60093
,,,,,,,200,66129
,,,,,,,201,63720
,,,,,,,202,55553
,,,,,,,203,50287
,,,,,,,204,47064
,,,,,,,205,45720
,,,,,,,206,46375
,,,,,,,207,49112
,,,,,,,208,55378
,,,,,,,209,65419
,,,,,,,210,73701
,,,,,,,211,72958
,,,,,,,212,70325
,,,,,,,213,68276
,,,,,,,214,61033
,,,,,,,215,55537
,,,,,,,216,51112
,,,,,,,217,47823
,,,,,,,218,46337
,,,,,,,219,45758
,,,,,,,220,45987
,,,,,,,221,47309
,,,,,,,222,51259
,,,,,,,223,60355
,,,,,,,224,65206
,,,,,,,225,59618
,,,,,,,226,51068
,,,,,,,227,47009
,,,,,,,228,44502
,,,,,,,229,43906
,,,,,,,230,45698
,,,,,,,231,51549
,,,,,,,232,57738
,,,,,,,233,64288
,,,,,,,234,71057
,,,,,,,235,70019
,,,,,,,236,67124
,,,,,,,237,65212
,,,,,,,238,59148
,,,,,,,239,54013
,,,,,,,240,49872
,,,,,,,241,47572
,,,,,,,242,46272
,,,,,,,243,45725
,,,,,,,244,46140
,,,,,,,245,47452
,,,,,,,246,51330
,,,,,,,247,60530
,,,,,,,248,64862
,,,,,,,249,57241
,,,,,,,250,50194
,,,,,,,251,46293
,,,,,,,252,43573
,,,,,,,253,42934
,,,,,,,254,45168
,,,,,,,255,51363
,,,,,,,256,57208
,,,,,,,257,63600
,,,,,,,258,70374
,,,,,,,259,69276
,,,,,,,260,66124
,,,,,,,261,64168
,,,,,,,262,58001
,,,,,,,263,52925
,,,,,,,264,48708
,,,,,,,265,45780
,,,,,,,266,44299
,,,,,,,267,43305
,,,,,,,268,43278
,,,,,,,269,44081
,,,,,,,270,47462
,,,,,,,271,55837
,,,,,,,272,61999
,,,,,,,273,61235
,,,,,,,274,58689
,,,,,,,275,57591
,,,,,,,276,57126
,,,,,,,277,57318
,,,,,,,278,57498
,,,,,,,279,57722
,,,,,,,280,59519
,,,,,,,281,63469
,,,,,,,282,68697
,,,,,,,283,67599
,,,,,,,284,64589
,,,,,,,285,62726
,,,,,,,286,56351
,,,,,,,287,51341
,,,,,,,288,47233
,,,,,,,289,44108
,,,,,,,290,42568
,,,,,,,291,41546
,,,,,,,292,41666
,,,,,,,293,42502
,,,,,,,294,45851
,,,,,,,295,54455
,,,,,,,296,59978
,,,,,,,297,54597
,,,,,,,298,50959
,,,,,,,299,49992
,,,,,,,300,49697
,,,,,,,301,53335
,,,,,,,302,56089
,,,,,,,303,58164
,,,,,,,304,61175
,,,,,,,305,66468
,,,,,,,306,72783
,,,,,,,307,70981
,,,,,,,308,67812
,,,,,,,309,66184
,,,,,,,310,61185
,,,,,,,311,57208
,,,,,,,312,53510
,,,,,,,313,53117
,,,,,,,314,51155
,,,,,,,315,50325
,,,,,,,316,49893
,,,,,,,317,50178
,,,,,,,318,51724
,,,,,,,319,54455
,,,,,,,320,56192
,,,,,,,321,57105
,,,,,,,322,56105
,,,,,,,323,54898
,,,,,,,324,55045
,,,,,,,325,55810
,,,,,,,326,55875
,,,,,,,327,56842
,,,,,,,328,58776
,,,,,,,329,63409
,,,,,,,330,68593
,,,,,,,331,69396
,,,,,,,332,68539
,,,,,,,333,67014
,,,,,,,334,65255
,,,,,,,335,62311
,,,,,,,336,58798
,,,,,,,337,54919
,,,,,,,338,52559
,,,,,,,339,51707
,,,,,,,340,51587
,,,,,,,341,52046
,,,,,,,342,53510
,,,,,,,343,55799
,,,,,,,344,55662
,,,,,,,345,50571
,,,,,,,346,47654
,,,,,,,347,45643
,,,,,,,348,44436
,,,,,,,349,44578
,,,,,,,350,45895
,,,,,,,351,48593
,,,,,,,352,54488
,,,,,,,353,64338
,,,,,,,354,71363
,,,,,,,355,72833
,,,,,,,356,72008
,,,,,,,357,71106
,,,,,,,358,69069
,,,,,,,359,65556
,,,,,,,360,61508
,,,,,,,361,56132
,,,,,,,362,54624
,,,,,,,363,53931
,,,,,,,364,54406
,,,,,,,365,55373
,,,,,,,366,58574
,,,,,,,367,63840
,,,,,,,368,65458
,,,,,,,369,59743
,,,,,,,370,54400
,,,,,,,371,51920
,,,,,,,372,49959
,,,,,,,373,49107
,,,,,,,374,49145
,,,,,,,375,52188
,,,,,,,376,58509
,,,,,,,377,67184
,,,,,,,378,75045
,,,,,,,379,73505
,,,,,,,380,69986
,,,,,,,381,67757
,,,,,,,382,63988
,,,,,,,383,59273
,,,,,,,384,54876
,,,,,,,385,50604
,,,,,,,386,48976
,,,,,,,387,48042
,,,,,,,388,47960
,,,,,,,389,48976
,,,,,,,390,52543
,,,,,,,391,61256
,,,,,,,392,67031
,,,,,,,393,63950
,,,,,,,394,60781
,,,,,,,395,63376
,,,,,,,396,63704
,,,,,,,397,62579
,,,,,,,398,61360
,,,,,,,399,60869
,,,,,,,400,62447
,,,,,,,401,65862
,,,,,,,402,72106
,,,,,,,403,70789
,,,,,,,404,67495
,,,,,,,405,65173
,,,,,,,406,58317
,,,,,,,407,53002
,,,,,,,408,48528
,,,,,,,409,45031
,,,,,,,410,43174
,,,,,,,411,42338
,,,,,,,412,42639
,,,,,,,413,43835
,,,,,,,414,47654
,,,,,,,415,56990
,,,,,,,416,61114
,,,,,,,417,54499
,,,,,,,418,49653
,,,,,,,419,48413
,,,,,,,420,45441
,,,,,,,421,43780
,,,,,,,422,44338
,,,,,,,423,47359
,,,,,,,424,53821
,,,,,,,425,64185
,,,,,,,426,73373
,,,,,,,427,73619
,,,,,,,428,71237
,,,,,,,429,69571
,,,,,,,430,63529
,,,,,,,431,58563
,,,,,,,432,54504
,,,,,,,433,53029
,,,,,,,434,51975
,,,,,,,435,51620
,,,,,,,436,52013
,,,,,,,437,53581
,,,,,,,438,57487
,,,,,,,439,66933
,,,,,,,440,71368
,,,,,,,441,64829
,,,,,,,442,58372
,,,,,,,443,54176
,,,,,,,444,51336
,,,,,,,445,51303
,,,,,,,446,52794
,,,,,,,447,56586
,,,,,,,448,63764
,,,,,,,449,71855
,,,,,,,450,78907
,,,,,,,451,78088
,,,,,,,452,75296
,,,,,,,453,73073
,,,,,,,454,65550
,,,,,,,455,60022
,,,,,,,456,55329
,,,,,,,457,52144
,,,,,,,458,50483
,,,,,,,459,49489
,,,,,,,460,49533
,,,,,,,461,50713
,,,,,,,462,54624
,,,,,,,463,63731
,,,,,,,464,68233
,,,,,,,465,61185
,,,,,,,466,54548
,,,,,,,467,51095
,,,,,,,468,48708
,,,,,,,469,47594
,,,,,,,470,48216
,,,,,,,471,51751
,,,,,,,472,58809
,,,,,,,473,68249
,,,,,,,474,76487
,,,,,,,475,75859
,,,,,,,476,72794
,,,,,,,477,71019
,,,,,,,478,64267
,,,,,,,479,60098
,,,,,,,480,56520
,,,,,,,481,54335
,,,,,,,482,52002
,,,,,,,483,50970
,,,,,,,484,51008
,,,,,,,485,51439
,,,,,,,486,52762
,,,,,,,487,55684
,,,,,,,488,57793
,,,,,,,489,60229
,,,,,,,490,62901
,,,,,,,491,64682
,,,,,,,492,64529
,,,,,,,493,64704
,,,,,,,494,64015
,,,,,,,495,63283
,,,,,,,496,63688
,,,,,,,497,66659
,,,,,,,498,71221
,,,,,,,499,71352
,,,,,,,500,70320
,,,,,,,501,68200
,,,,,,,502,65834
,,,,,,,503,62633
,,,,,,,504,58902
,,,,,,,505,55449
,,,,,,,506,53324
,,,,,,,507,52587
,,,,,,,508,52439
,,,,,,,509,52570
,,,,,,,510,53543
,,,,,,,511,55531
,,,,,,,512,55313
,,,,,,,513,50735
,,,,,,,514,49003
,,,,,,,515,50112
,,,,,,,516,48861
,,,,,,,517,50363
,,,,,,,518,54198
,,,,,,,519,56586
,,,,,,,520,59055
,,,,,,,521,63644
,,,,,,,522,68500
,,,,,,,523,69271
,,,,,,,524,67976
,,,,,,,525,65993
,,,,,,,526,63529
,,,,,,,527,59962
,,,,,,,528,55378
,,,,,,,529,49325
,,,,,,,530,47665
,,,,,,,531,46758
,,,,,,,532,46872
,,,,,,,533,47872
,,,,,,,534,51532
,,,,,,,535,60393
,,,,,,,536,66031
,,,,,,,537,64835
,,,,,,,538,62977
,,,,,,,539,62775
,,,,,,,540,61568
,,,,,,,541,60672
,,,,,,,542,60896
,,,,,,,543,60732
,,,,,,,544,62420
,,,,,,,545,66933
