Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
10000,1,1,1,52,168,168,1,47633.25
,,,,,,168,2,44867.55
,,,,,,168,3,43215.9
,,,,,,168,4,42521.85
,,,,,,168,5,42315
,,,,,,168,6,42987
,,,,,,168,7,44816.1
,,,,,,168,8,44466.45
,,,,,,168,9,42470.4
,,,,,,168,10,38655.75
,,,,,,168,11,34508.25
,,,,,,168,12,34330.8
,,,,,,168,13,34037.85
,,,,,,168,14,35695.8
,,,,,,168,15,39561.9
,,,,,,168,16,45998.4
,,,,,,168,17,53467.05
,,,,,,168,18,59725.05
,,,,,,168,19,60538.8
,,,,,,168,20,59897.25
,,,,,,168,21,58267.65
,,,,,,168,22,56220.15
,,,,,,168,23,53220.3
,,,,,,168,24,49215.6
,,,,,,168,25,44787.75
,,,,,,168,26,43038.45
,,,,,,168,27,41920.2
,,,,,,168,28,42143.85
,,,,,,168,29,43141.35
,,,,,,168,30,45481.8
,,,,,,168,31,49589.4
,,,,,,168,32,51223.2
,,,,,,168,33,47936.7
,,,,,,168,34,44787.75
,,,,,,168,35,43399.65
,,,,,,168,36,43348.2
,,,,,,168,37,44237.55
,,,,,,168,38,46755.45
,,,,,,168,39,50885.1
,,,,,,168,40,56283.15
,,,,,,168,41,63987
,,,,,,168,42,72229.5
,,,,,,168,43,71386.35
,,,,,,168,44,68472.6
,,,,,,168,45,66619.35
,,,,,,168,46,63493.5
,,,,,,168,47,58743.3
,,,,,,168,48,54189.45
,,,,,,168,49,51602.25
,,,,,,168,50,50036.7
,,,,,,168,51,49410.9
,,,,,,168,52,49864.5
,,,,,,,53,51430.05
,,,,,,,54,55703.55
,,,,,,,55,65289
,,,,,,,56,72017.4
,,,,,,,57,68580.75
,,,,,,,58,64611.75
,,,,,,,59,63906.15
,,,,,,,60,63607.95
,,,,,,,61,64365
,,,,,,,62,65696.4
,,,,,,,63,67801.65
,,,,,,,64,71380.05
,,,,,,,65,78831.9
,,,,,,,66,88135.95
,,,,,,,67,87803.1
,,,,,,,68,85479.45
,,,,,,,69,83890.8
,,,,,,,70,75390
,,,,,,,71,69797.7
,,,,,,,72,64772.4
,,,,,,,73,61336.8
,,,,,,,74,59627.4
,,,,,,,75,58680.3
,,,,,,,76,58887.15
,,,,,,,77,60114.6
,,,,,,,78,63952.35
,,,,,,,79,73147.2
,,,,,,,80,79600.5
,,,,,,,81,72648.45
,,,,,,,82,66074.4
,,,,,,,83,62105.4
,,,,,,,84,62598.9
,,,,,,,85,67984.35
,,,,,,,86,70462.35
,,,,,,,87,70841.4
,,,,,,,88,75522.3
,,,,,,,89,82565.7
,,,,,,,90,90481.65
,,,,,,,91,89254.2
,,,,,,,92,85886.85
,,,,,,,93,83300.7
,,,,,,,94,73985.1
,,,,,,,95,67273.5
,,,,,,,96,61824
,,,,,,,97,57952.65
,,,,,,,98,55950.3
,,,,,,,99,55021.05
,,,,,,,100,54837.3
,,,,,,,101,55731.9
,,,,,,,102,59340.75
,,,,,,,103,68323.5
,,,,,,,104,75860.4
,,,,,,,105,72723
,,,,,,,106,65019.15
,,,,,,,107,60619.65
,,,,,,,108,56862.75
,,,,,,,109,56134.05
