Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
10000,1,1,1,52,168,168,1,181460
,,,,,,168,2,170924
,,,,,,168,3,164632
,,,,,,168,4,161988
,,,,,,168,5,161200
,,,,,,168,6,163760
,,,,,,168,7,170728
,,,,,,168,8,169396
,,,,,,168,9,161792
,,,,,,168,10,147260
,,,,,,168,11,131460
,,,,,,168,12,130784
,,,,,,168,13,129668
,,,,,,168,14,135984
,,,,,,168,15,150712
,,,,,,168,16,175232
,,,,,,168,17,203684
,,,,,,168,18,227524
,,,,,,168,19,230624
,,,,,,168,20,228180
,,,,,,168,21,221972
,,,,,,168,22,214172
,,,,,,168,23,202744
,,,,,,168,24,187488
,,,,,,168,25,170620
,,,,,,168,26,163956
,,,,,,168,27,159696
,,,,,,168,28,160548
,,,,,,168,29,164348
,,,,,,168,30,173264
,,,,,,168,31,188912
,,,,,,168,32,195136
,,,,,,168,33,182616
,,,,,,168,34,170620
,,,,,,168,35,165332
,,,,,,168,36,165136
,,,,,,168,37,168524
,,,,,,168,38,178116
,,,,,,168,39,193848
,,,,,,168,40,214412
,,,,,,168,41,243760
,,,,,,168,42,275160
,,,,,,168,43,271948
,,,,,,168,44,260848
,,,,,,168,45,253788
,,,,,,168,46,241880
,,,,,,168,47,223784
,,,,,,168,48,206436
,,,,,,168,49,196580
,,,,,,168,50,190616
,,,,,,168,51,188232
,,,,,,168,52,189960
,,,,,,,53,195924
,,,,,,,54,212204
,,,,,,,55,248720
,,,,,,,56,274352
,,,,,,,57,261260
,,,,,,,58,246140
,,,,,,,59,243452
,,,,,,,60,242316
,,,,,,,61,245200
,,,,,,,62,250272
,,,,,,,63,258292
,,,,,,,64,271924
,,,,,,,65,300312
,,,,,,,66,335756
,,,,,,,67,334488
,,,,,,,68,325636
,,,,,,,69,319584
,,,,,,,70,287200
,,,,,,,71,265896
,,,,,,,72,246752
,,,,,,,73,233664
,,,,,,,74,227152
,,,,,,,75,223544
,,,,,,,76,224332
,,,,,,,77,229008
,,,,,,,78,243628
,,,,,,,79,278656
,,,,,,,80,303240
,,,,,,,81,276756
,,,,,,,82,251712
,,,,,,,83,236592
,,,,,,,84,238472
,,,,,,,85,258988
,,,,,,,86,268428
,,,,,,,87,269872
,,,,,,,88,287704
,,,,,,,89,314536
,,,,,,,90,344692
,,,,,,,91,340016
,,,,,,,92,327188
,,,,,,,93,317336
,,,,,,,94,281848
,,,,,,,95,256280
,,,,,,,96,235520
,,,,,,,97,220772
,,,,,,,98,213144
,,,,,,,99,209604
,,,,,,,100,208904
,,,,,,,101,212312
,,,,,,,102,226060
,,,,,,,103,260280
,,,,,,,104,288992
,,,,,,,105,277040
,,,,,,,106,247692
,,,,,,,107,230932
,,,,,,,108,216620
,,,,,,,109,213844
,,,,,,,110,222168
,,,,,,,111,235236
,,,,,,,112,252216
,,,,,,,113,282764
,,,,,,,114,313596
,,,,,,,115,308180
,,,,,,,116,297404
,,,,,,,117,290608
,,,,,,,118,259272
,,,,,,,119,239016
,,,,,,,120,219264
,,,,,,,121,204096
,,,,,,,122,197172
,,,,,,,123,192648
,,,,,,,124,192580
,,,,,,,125,195620
,,,,,,,126,209736
,,,,,,,127,245836
,,,,,,,128,264560
,,,,,,,129,246796
,,,,,,,130,207636
,,,,,,,131,193544
,,,,,,,132,184780
,,,,,,,133,190332
,,,,,,,134,199660
,,,,,,,135,211048
,,,,,,,136,230364
,,,,,,,137,249092
,,,,,,,138,276756
,,,,,,,139,271204
,,,,,,,140,257284
,,,,,,,141,249396
,,,,,,,142,228200
,,,,,,,143,211812
,,,,,,,144,196056
,,,,,,,145,186836
,,,,,,,146,176848
,,,,,,,147,173528
,,,,,,,148,173328
,,,,,,,149,174268
,,,,,,,150,180192
,,,,,,,151,192756
,,,,,,,152,195424
,,,,,,,153,181436
,,,,,,,154,164416
,,,,,,,155,153356
,,,,,,,156,146648
,,,,,,,157,145840
,,,,,,,158,149840
,,,,,,,159,165964
,,,,,,,160,185940
,,,,,,,161,207200
,,,,,,,162,228244
,,,,,,,163,231892
,,,,,,,164,228548
,,,,,,,165,221228
,,,,,,,166,213888
,,,,,,,167,202216
,,,,,,,168,188560
,,,,,,,169,176716
,,,,,,,170,168740
,,,,,,,171,165440
,,,,,,,172,165268
,,,,,,,173,166336
,,,,,,,174,171144
,,,,,,,175,179928
,,,,,,,176,180716
,,,,,,,177,177656
,,,,,,,178,170140
,,,,,,,179,152484
,,,,,,,180,144004
,,,,,,,181,150844
,,,,,,,182,155584
,,,,,,,183,165528
,,,,,,,184,194396
,,,,,,,185,219744
,,,,,,,186,244088
,,,,,,,187,249944
,,,,,,,188,248216
,,,,,,,189,242908
,,,,,,,190,232984
,,,,,,,191,218016
,,,,,,,192,202676
,,,,,,,193,187752
,,,,,,,194,183708
,,,,,,,195,181632
,,,,,,,196,183272
,,,,,,,197,188340
,,,,,,,198,203812
,,,,,,,199,240372
,,,,,,,200,264516
,,,,,,,201,254880
,,,,,,,202,222212
,,,,,,,203,201148
,,,,,,,204,188256
,,,,,,,205,182880
,,,,,,,206,185500
,,,,,,,207,196448
,,,,,,,208,221512
,,,,,,,209,261676
,,,,,,,210,294804
,,,,,,,211,291832
,,,,,,,212,281300
,,,,,,,213,273104
,,,,,,,214,244132
,,,,,,,215,222148
,,,,,,,216,204448
,,,,,,,217,191292
,,,,,,,218,185348
,,,,,,,219,183032
,,,,,,,220,183948
,,,,,,,221,189236
,,,,,,,222,205036
,,,,,,,223,241420
,,,,,,,224,260824
,,,,,,,225,238472
,,,,,,,226,204272
,,,,,,,227,188036
,,,,,,,228,178008
,,,,,,,229,175624
,,,,,,,230,182792
,,,,,,,231,206196
,,,,,,,232,230952
,,,,,,,233,257152
,,,,,,,234,284228
,,,,,,,235,280076
,,,,,,,236,268496
,,,,,,,237,260848
,,,,,,,238,236592
,,,,,,,239,216052
,,,,,,,240,199488
,,,,,,,241,190288
,,,,,,,242,185088
,,,,,,,243,182900
,,,,,,,244,184560
,,,,,,,245,189808
,,,,,,,246,205320
,,,,,,,247,242120
,,,,,,,248,259448
,,,,,,,249,228964
,,,,,,,250,200776
,,,,,,,251,185172
,,,,,,,252,174292
,,,,,,,253,171736
,,,,,,,254,180672
,,,,,,,255,205452
,,,,,,,256,228832
,,,,,,,257,254400
,,,,,,,258,281496
,,,,,,,259,277104
